date	path	username	file	ext	filename	filename_ok	filename_pieces	filename_remainder
2023-07-05	_data_CCBR	bianjh	grubbers	tsv	data/20230705/20230705._data_CCBR.bianjh.grubbers.tsv	TRUE	5	
2023-07-05	_data_CCBR	bianjh	summary	txt	data/20230705/20230705._data_CCBR.bianjh.summary.txt	TRUE	5	
2023-07-05	_data_CCBR	cauleyes	grubbers	tsv	data/20230705/20230705._data_CCBR.cauleyes.grubbers.tsv	TRUE	5	
2023-07-05	_data_CCBR	cauleyes	summary	txt	data/20230705/20230705._data_CCBR.cauleyes.summary.txt	TRUE	5	
2023-07-05	_data_CCBR	degenhardthf	grubbers	tsv	data/20230705/20230705._data_CCBR.degenhardthf.grubbers.tsv	TRUE	5	
2023-07-05	_data_CCBR	degenhardthf	summary	txt	data/20230705/20230705._data_CCBR.degenhardthf.summary.txt	TRUE	5	
2023-07-05	_data_CCBR	dremelse	grubbers	tsv	data/20230705/20230705._data_CCBR.dremelse.grubbers.tsv	TRUE	5	
2023-07-05	_data_CCBR	dremelse	summary	txt	data/20230705/20230705._data_CCBR.dremelse.summary.txt	TRUE	5	
2023-07-05	_data_CCBR	eigenbroodjf	grubbers	tsv	data/20230705/20230705._data_CCBR.eigenbroodjf.grubbers.tsv	TRUE	5	
2023-07-05	_data_CCBR	eigenbroodjf	summary	txt	data/20230705/20230705._data_CCBR.eigenbroodjf.summary.txt	TRUE	5	
2023-07-05	_data_CCBR	finneyr	grubbers	tsv	data/20230705/20230705._data_CCBR.finneyr.grubbers.tsv	TRUE	5	
2023-07-05	_data_CCBR	finneyr	summary	txt	data/20230705/20230705._data_CCBR.finneyr.summary.txt	TRUE	5	
2023-07-05	_data_CCBR	fitzgepe	grubbers	tsv	data/20230705/20230705._data_CCBR.fitzgepe.grubbers.tsv	TRUE	5	
2023-07-05	_data_CCBR	fitzgepe	summary	txt	data/20230705/20230705._data_CCBR.fitzgepe.summary.txt	TRUE	5	
2023-07-05	_data_CCBR	guibletwm	grubbers	tsv	data/20230705/20230705._data_CCBR.guibletwm.grubbers.tsv	TRUE	5	
2023-07-05	_data_CCBR	guibletwm	summary	txt	data/20230705/20230705._data_CCBR.guibletwm.summary.txt	TRUE	5	
2023-07-05	_data_CCBR	homanpj	grubbers	tsv	data/20230705/20230705._data_CCBR.homanpj.grubbers.tsv	TRUE	5	
2023-07-05	_data_CCBR	homanpj	summary	txt	data/20230705/20230705._data_CCBR.homanpj.summary.txt	TRUE	5	
2023-07-05	_data_CCBR	jailwalapa	grubbers	tsv	data/20230705/20230705._data_CCBR.jailwalapa.grubbers.tsv	TRUE	5	
2023-07-05	_data_CCBR	jailwalapa	summary	txt	data/20230705/20230705._data_CCBR.jailwalapa.summary.txt	TRUE	5	
2023-07-05	_data_CCBR	kopardevn	grubbers	tsv	data/20230705/20230705._data_CCBR.kopardevn.grubbers.tsv	TRUE	5	
2023-07-05	_data_CCBR	kopardevn	summary	txt	data/20230705/20230705._data_CCBR.kopardevn.summary.txt	TRUE	5	
2023-07-05	_data_CCBR	kuhnsa	grubbers	tsv	data/20230705/20230705._data_CCBR.kuhnsa.grubbers.tsv	TRUE	5	
2023-07-05	_data_CCBR	kuhnsa	summary	txt	data/20230705/20230705._data_CCBR.kuhnsa.summary.txt	TRUE	5	
2023-07-05	_data_CCBR	lobanovav	grubbers	tsv	data/20230705/20230705._data_CCBR.lobanovav.grubbers.tsv	TRUE	5	
2023-07-05	_data_CCBR	lobanovav	summary	txt	data/20230705/20230705._data_CCBR.lobanovav.summary.txt	TRUE	5	
2023-07-05	_data_CCBR	maggiec	grubbers	tsv	data/20230705/20230705._data_CCBR.maggiec.grubbers.tsv	TRUE	5	
2023-07-05	_data_CCBR	maggiec	summary	txt	data/20230705/20230705._data_CCBR.maggiec.summary.txt	TRUE	5	
2023-07-05	_data_CCBR	mceachronta	grubbers	tsv	data/20230705/20230705._data_CCBR.mceachronta.grubbers.tsv	TRUE	5	
2023-07-05	_data_CCBR	mceachronta	summary	txt	data/20230705/20230705._data_CCBR.mceachronta.summary.txt	TRUE	5	
2023-07-05	_data_CCBR	meyertj	grubbers	tsv	data/20230705/20230705._data_CCBR.meyertj.grubbers.tsv	TRUE	5	
2023-07-05	_data_CCBR	meyertj	summary	txt	data/20230705/20230705._data_CCBR.meyertj.summary.txt	TRUE	5	
2023-07-05	_data_CCBR	michaloa	grubbers	tsv	data/20230705/20230705._data_CCBR.michaloa.grubbers.tsv	TRUE	5	
2023-07-05	_data_CCBR	michaloa	summary	txt	data/20230705/20230705._data_CCBR.michaloa.summary.txt	TRUE	5	
2023-07-05	_data_CCBR	nelsong	grubbers	tsv	data/20230705/20230705._data_CCBR.nelsong.grubbers.tsv	TRUE	5	
2023-07-05	_data_CCBR	nelsong	summary	txt	data/20230705/20230705._data_CCBR.nelsong.summary.txt	TRUE	5	
2023-07-05	_data_CCBR	nousomedr	grubbers	tsv	data/20230705/20230705._data_CCBR.nousomedr.grubbers.tsv	TRUE	5	
2023-07-05	_data_CCBR	nousomedr	summary	txt	data/20230705/20230705._data_CCBR.nousomedr.summary.txt	TRUE	5	
2023-07-05	_data_CCBR	pehrssonec	grubbers	tsv	data/20230705/20230705._data_CCBR.pehrssonec.grubbers.tsv	TRUE	5	
2023-07-05	_data_CCBR	pehrssonec	summary	txt	data/20230705/20230705._data_CCBR.pehrssonec.summary.txt	TRUE	5	
2023-07-05	_data_CCBR	rpcuser	grubbers	tsv	data/20230705/20230705._data_CCBR.rpcuser.grubbers.tsv	TRUE	5	
2023-07-05	_data_CCBR	rpcuser	summary	txt	data/20230705/20230705._data_CCBR.rpcuser.summary.txt	TRUE	5	
